"SUID","COMMON","gal1RGexp","gal1RGsig","gal4RGexp","gal4RGsig","gal80Rexp","gal80Rsig","name","selected","shared name"
"227","GAL1","-2.426","7.0101E-9","-2.406","2.5038E-9","2.939","2.8147E-18","YBR020W","false","YBR020W"
"229","GAL2","0.176","2.4597E-4","-0.57","1.6652E-7","0.892","7.3429E-10","YLR081W","false","YLR081W"
"231","GAL4","0.1","0.11614","-0.758","1.264E-4","-0.211","0.088214","YPL248C","false","YPL248C"
"233","GAL7","0.153","7.8855E-4","-1.995","3.6284E-11","3.126","3.9427E-17","YBR018C","false","YBR018C"
"235","MSL1","-0.044","0.74397","-0.337","0.19987","-0.049","0.89526","YIR009W","false","YIR009W"
"236","BAS1","0.466","6.1231E-6","-0.936","7.6476E-6","1.101","6.9896E-4","YKR099W","false","YKR099W"
"238","SSL2","0.124","0.019613","0.069","0.36733","0.264","0.045357","YIL143C","false","YIL143C"
"240","ATC1","0.04","0.4641","-0.886","9.3996E-7","0.404","0.10407","YDR184C","false","YDR184C"
"242","YNL091W","0.288","1.9735E-6","0.154","0.026384","0.723","2.3704E-4","YNL091W","false","YNL091W"
"244","SIN4","-0.146","0.018347","-0.218","0.053936","-0.141","0.39009","YNL236W","false","YNL236W"
"245","PRP40","0.21","4.2719E-4","-0.277","3.5398E-4","0.561","8.7173E-5","YKL012W","false","YKL012W"
"247","RAD52","0.199","3.3893E-4","-0.136","0.033332","0.363","0.0030735","YML032C","false","YML032C"
"248","RFA2","0.028","0.47284","-0.111","0.034589","-0.121","0.24786","YNL312W","false","YNL312W"
"250","MSL5","0.015","0.74865","-0.03","0.60558","0.101","0.35769","YLR116W","false","YLR116W"
"252","YOR264W","0.493","1.939E-8","0.237","0.016862","0.307","0.011809","YOR264W","false","YOR264W"
"254","GIC2","-0.427","1.6598E-8","-0.129","0.032663","-0.798","1.2554E-13","YDR309C","false","YDR309C"
"255","CDC42","-0.074","0.066961","0.089","0.031442","-0.154","0.030339","YLR229C","false","YLR229C"
"257","YGR058W","0.045","0.44242","-0.16","0.10763","-0.065","0.6708","YGR058W","false","YGR058W"
"259","CPA2","-0.323","1.2917E-7","-0.0","0.61381","-0.745","0.030981","YJR109C","false","YJR109C"
"260","CPA1","-0.127","0.002137","-0.089","0.15221","0.403","1.5854E-4","YOR303W","false","YOR303W"
"262","HAP1","0.011","0.79725","-0.087","0.063023","0.104","0.2243","YLR256W","false","YLR256W"
"263","CYB2","0.963","3.5964E-11","0.856","1.3947E-8","-0.091","0.25421","YML054C","false","YML054C"
"265","CYC1","0.216","3.3444E-5","0.14","0.005959","-0.643","1.6071E-8","YJR048W","false","YJR048W"
"267","CYC7","-0.319","2.8783E-6","0.377","7.3568E-7","-1.373","4.9668E-7","YEL039C","false","YEL039C"
"269","HAP2","0.127","0.002588","0.05","0.22211","0.059","0.35299","YGL237C","false","YGL237C"
"271","HAP3","0.073","0.18207","-0.256","0.015004","-0.108","0.497","YBL021C","false","YBL021C"
"273","TFB1","0.098","0.056092","-0.043","0.60829","0.332","0.0087786","YDR311W","false","YDR311W"
"274","TFA1","0.214","3.5042E-5","-0.146","0.025221","0.337","4.9898E-5","YKL028W","false","YKL028W"
"276","APG5","0.033","0.47027","0.116","0.043291","0.488","1.5579E-5","YPL149W","false","YPL149W"
"277","APG7","-0.134","0.030789","0.251","2.257E-4","0.034","0.7782","YHR171W","false","YHR171W"
"279","APG12","0.088","0.143","-0.332","0.011008","0.378","0.012775","YBR217W","false","YBR217W"
"281","HAP4","0.084","0.045375","0.295","3.1802E-6","-0.117","0.071395","YKL109W","false","YKL109W"
"286","MCM1","-0.183","0.0035372","-0.654","4.2514E-6","0.457","2.4112E-4","YMR043W","false","YMR043W"
